year,period,TE-TOZagreb,EL-TOZagreb,TE-TOOsijek,general_demand,Industry_HT
2045,6162,17.31890311,13.14527445,3.902984587,429.601326,1199.829788
2045,6163,25.90105582,19.65924085,5.837056831,642.3961235,959.7674413
2045,6164,25.2509528,19.16580413,5.690549742,626.3334673,1198.376454
2045,6165,19.26128409,14.61956708,4.340719183,477.7814286,961.4423981
2045,6166,17.54881759,13.31978256,3.95479807,435.2256155,1206.427703
2045,6167,12.72457747,9.658121077,2.867608269,315.5737722,1198.979909
2045,6168,5.732005926,4.350667625,1.291763725,142.1332691,1201.086114
2045,6169,4.079000068,3.096014513,0.919242651,101.1742823,1183.069383
2045,6170,2.782758064,2.112149843,0.627121808,69.05683599,1403.786039
2045,6171,2.461670595,1.868440246,0.5547616,61.02550788,1384.5564
2045,6172,1.617329473,1.227574268,0.364481051,40.14877445,1126.96427
2045,6173,112.8126948,85.62631393,25.42344664,76.28581792,1401.495343
2045,6174,94.70098311,71.87928739,21.34179487,104.3915333,1417.871737
2045,6175,14.24676992,10.81348509,3.210649258,353.3155081,1386.640987
2045,6176,29.84924248,22.65596626,6.726819396,740.3610211,1409.587013
2045,6177,26.22214329,19.90295044,5.909417039,650.4274516,1347.607999
2045,6178,19.74886136,14.98964461,4.4505995,489.8244877,1374.596578
2045,6179,19.42380985,14.74292625,4.377345955,481.7931596,1366.010299
2045,6180,16.34771261,12.40812814,3.68411729,405.5152078,1380.086378
2045,6181,13.59666689,10.32004838,3.064142169,337.260718,1358.226869
2045,6182,12.6254764,9.582902065,2.845274871,313.1667336,1309.659478
2045,6183,9.874430679,7.494822306,2.22529975,244.9122438,1351.351364
2045,6184,7.123384958,5.406742547,1.605324629,176.657754,1379.806612
2045,6185,12.72457747,9.658121077,2.867608269,315.5737722,1382.512754
2045,6186,17.31890311,13.14527445,3.902984587,429.601326,1379.19986
2045,6187,25.90105582,19.65924085,5.837056831,642.3961235,1086.544252
2045,6188,25.2509528,19.16580413,5.690549742,626.3334673,1361.754261
2045,6189,19.26128409,14.61956708,4.340719183,477.7814286,1122.024446
2045,6190,17.54881759,13.31978256,3.95479807,435.2256155,1335.271423
2045,6191,12.72457747,9.658121077,2.867608269,315.5737722,1317.667628
2045,6192,5.732005926,4.350667625,1.291763725,142.1332691,1398.897787
2045,6193,4.079000068,3.096014513,0.919242651,101.1742823,1385.553368
2045,6194,2.782758064,2.112149843,0.627121808,69.05683599,1441.446348
2045,6195,2.461670595,1.868440246,0.5547616,61.02550788,1424.973115
2045,6196,1.617329473,1.227574268,0.364481051,40.14877445,1424.112183
2045,6197,93.76150496,71.16621116,21.13007426,76.28581792,1436.759493
2045,6198,4.209813481,3.195303609,0.948722736,104.3915333,1447.369586
2045,6199,14.24676992,10.81348509,3.210649258,353.3155081,1410.815836
2045,6200,29.84924248,22.65596626,6.726819396,740.3610211,1229.963926
2045,6201,26.22214329,19.90295044,5.909417039,650.4274516,1349.887718
2045,6202,19.74886136,14.98964461,4.4505995,489.8244877,1374.955251
2045,6203,19.42380985,14.74292625,4.377345955,481.7931596,1365.331998
2045,6204,16.34771261,12.40812814,3.68411729,405.5152078,1400.299447
2045,6205,13.59666689,10.32004838,3.064142169,337.260718,1373.816401
2045,6206,12.6254764,9.582902065,2.845274871,313.1667336,1327.991095
2045,6207,9.874430679,7.494822306,2.22529975,244.9122438,1359.323555
2045,6208,7.123384958,5.406742547,1.605324629,176.657754,1384.990476
2045,6209,12.72457747,9.658121077,2.867608269,315.5737722,1380.543635
2045,6210,17.31890311,13.14527445,3.902984587,429.601326,1376.853921
2045,6211,25.90105582,19.65924085,5.837056831,642.3961235,1331.418855
2045,6212,25.2509528,19.16580413,5.690549742,626.3334673,1370.731742
2045,6213,19.26128409,14.61956708,4.340719183,477.7814286,1352.413517
2045,6214,17.54881759,13.31978256,3.95479807,435.2256155,1320.1757
2045,6215,12.72457747,9.658121077,2.867608269,315.5737722,1293.786434
2045,6216,5.732005926,4.350667625,1.291763725,142.1332691,1355.153898
2045,6217,4.079000068,3.096014513,0.919242651,101.1742823,974.2466494
2045,6218,2.782758064,2.112149843,0.627121808,69.05683599,972.4022525
2045,6219,2.461670595,1.868440246,0.5547616,61.02550788,875.9140854
2045,6220,1.617329473,1.227574268,0.364481051,40.14877445,989.5187735
2045,6221,3.076097233,2.334798117,0.693228666,76.28581792,862.3308562
2045,6222,4.209813481,3.195303609,0.948722736,104.3915333,752.0700257
2045,6223,14.24676992,10.81348509,3.210649258,353.3155081,759.8598326
2045,6224,29.84924248,22.65596626,6.726819396,740.3610211,1025.972149
2045,6225,26.22214329,19.90295044,5.909417039,650.4274516,996.4181542
2045,6226,19.74886136,14.98964461,4.4505995,489.8244877,988.2124097
2045,6227,19.42380985,14.74292625,4.377345955,481.7931596,979.3794009
2045,6228,16.34771261,12.40812814,3.68411729,405.5152078,994.8247456
2045,6229,13.59666689,10.32004838,3.064142169,337.260718,1002.86059
2045,6230,12.6254764,9.582902065,2.845274871,313.1667336,984.0005773
2045,6231,9.874430679,7.494822306,2.22529975,244.9122438,963.6520172
2045,6232,7.123384958,5.406742547,1.605324629,176.657754,896.7863533
2045,6233,12.72457747,9.658121077,2.867608269,315.5737722,947.5330669
2045,6234,17.31890311,13.14527445,3.902984587,429.601326,952.2691924
2045,6235,25.90105582,19.65924085,5.837056831,642.3961235,960.210134
2045,6236,25.2509528,19.16580413,5.690549742,626.3334673,975.1238738
2045,6237,19.26128409,14.61956708,4.340719183,477.7814286,962.5022487
2045,6238,17.54881759,13.31978256,3.95479807,435.2256155,978.1878662
2045,6239,12.72457747,9.658121077,2.867608269,315.5737722,939.4223961
2045,6240,5.732005926,4.350667625,1.291763725,142.1332691,991.2592772
2045,6241,4.079000068,3.096014513,0.919242651,101.1742823,1127.63305
2045,6242,2.782758064,2.112149843,0.627121808,69.05683599,1120.401982
2045,6243,2.461670595,1.868440246,0.5547616,61.02550788,1084.824107
2045,6244,1.617329473,1.227574268,0.364481051,40.14877445,1141.434708
2045,6245,3.076097233,2.334798117,0.693228666,1906.059921,988.8013762
2045,6246,77.52874959,58.84533708,17.47186371,104.3915333,934.5862049
2045,6247,14.24676992,10.81348509,3.210649258,353.3155081,858.0422475
2045,6248,29.84924248,22.65596626,6.726819396,740.3610211,1150.476555
2045,6249,26.22214329,19.90295044,5.909417039,650.4274516,1063.664836
2045,6250,19.74886136,14.98964461,4.4505995,489.8244877,1103.612048
2045,6251,19.42380985,14.74292625,4.377345955,481.7931596,1099.753886
2045,6252,16.34771261,12.40812814,3.68411729,405.5152078,1114.932459
2045,6253,13.59666689,10.32004838,3.064142169,337.260718,1120.328387
2045,6254,12.6254764,9.582902065,2.845274871,313.1667336,1098.479254
2045,6255,9.874430679,7.494822306,2.22529975,244.9122438,1080.256504
2045,6256,7.123384958,5.406742547,1.605324629,176.657754,1024.239837
2045,6257,12.72457747,9.658121077,2.867608269,315.5737722,1067.006368
2045,6258,110.0616491,83.53823417,24.80347152,429.601326,1073.212147
2045,6259,130.3694405,98.95211401,29.38003138,642.3961235,1078.788657
2045,6260,139.77215,106.0888938,31.49902416,626.3334673,1097.500024
2045,6261,142.0475106,107.8159223,32.01179897,477.7814286,1094.323444
2045,6262,143.9106108,109.2300397,32.43166685,435.2256155,1053.953435
2045,6263,140.7552327,106.8350664,31.72057146,315.5737722,1124.69065
2045,6264,5.732005926,4.350667625,1.291763725,142.1332691,1123.749973
2045,6265,4.079000068,3.096014513,0.919242651,101.1742823,1042.720504
2045,6266,2.782758064,2.112149843,0.627121808,69.05683599,1036.455547
2045,6267,2.461670595,1.868440246,0.5547616,61.02550788,939.9490564
2045,6268,1.617329473,1.227574268,0.364481051,40.14877445,1053.941712
2045,6269,148.4216915,112.6540091,33.44828311,76.28581792,934.2455229
2045,6270,134.8210606,102.330952,30.38324761,104.3915333,827.9511435
2045,6271,119.5674238,90.75324176,26.94569103,353.3155081,794.9262201
2045,6272,29.84924248,22.65596626,6.726819396,740.3610211,1070.035635
